ACTA,FILE_NAME,HASH_FILE_TSE,DATE_TIME,URL_TYPE,URL
1918,missing_uno_1918.jpeg,f728ddf227965d6b04ad68badd2b598439f6f3cd6c7a402a4d8a27fb26160890,2024-02-21T14:02:31.011611,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1918
192,not_found,Not Found,2024-02-21T14:02:31.415287,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/192
1925,missing_uno_1925.jpeg,fd87b5a4a4cce4e017310cdd8a4a2a2eb2934f7ca842d01701e0400f654909bc,2024-02-21T14:02:33.524464,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1925
1932,missing_uno_1932.jpeg,b5abb607752520c61e89b89139eecb9490fbbef297eb0d15b917075293f27256,2024-02-21T14:02:35.527825,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1932
1940,missing_uno_1940.jpeg,d55e333816e6642ad0cb3456e248cd6f6a9fe0f7290762cb3f3171c02e1b7dc0,2024-02-21T14:02:37.151889,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1940
1942,missing_uno_1942.jpeg,644cac24ff3f84c13ad59b1b9eb3c6291b77e724dc1a2d0fb54146f974d1933d,2024-02-21T14:02:39.558906,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1942
1944,missing_uno_1944.jpeg,f0bd9ac1fef6e901c08a15f17dee5b1026afd799fa51cb4691156e8ae643334f,2024-02-21T14:02:41.711690,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1944
1949,missing_uno_1949.jpeg,3a67dfbb82fcf558ffa47cb69c28094b46f787ddb663dc2c06de5b08c657b632,2024-02-21T14:02:43.742927,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1949
1951,missing_uno_1951.jpeg,75293991b0c9deefb1f347c283e522ec7c57f2993c06b3692f528a2db12ecd92,2024-02-21T14:02:45.375378,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1951
1960,missing_uno_1960.jpeg,83a4fdcc230751ba2a7fedfe4f1bdce78d87e4c1607ebd3bb2d81ee1b3cf2fbe,2024-02-21T14:02:47.873407,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1960
1964,missing_uno_1964.jpeg,817379acaa5798699e09c7c7890b8bb1e9b631f6007b850e70f7124aa6b42d64,2024-02-21T14:02:50.005042,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1964
1967,missing_uno_1967.jpeg,c763379a4fcf4626868b0e518889d5f0da91ac11a1fda2756d8bd64cc519254f,2024-02-21T14:02:51.901432,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1967
1970,missing_uno_1970.jpeg,85b89cc5089cea6cc1e0456fe51571da5c3423014cd212bf47ea0b94f087e690,2024-02-21T14:02:53.906646,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1970
1972,missing_uno_1972.jpeg,2a738127a28adb4f1b421b3897630c3ab354462b895a7e22c7c9226b803bf974,2024-02-21T14:02:55.853426,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1972
